Robot has been awakened!
Kenobi start position Row: 8, Column 8
Kenobi moved up to (8, 9) | Reward: 2.0 | Distance to food: 6
Kenobi moved right to (8, 10) | Reward: -2.0 | Distance to food: 7
Kenobi moved up to (7, 10) | Reward: 2.0 | Distance to food: 6
Kenobi moved down to (8, 10) | Reward: -2.0 | Distance to food: 7
Kenobi moved right to (8, 11) | Reward: -2.0 | Distance to food: 8
Kenobi moved right to (8, 12) | Reward: -2.0 | Distance to food: 9
Kenobi moved right to (8, 13) | Reward: -2.0 | Distance to food: 10
Kenobi moved right to (8, 14) | Reward: -2.0 | Distance to food: 11
Kenobi moved right to (8, 15) | Reward: -2.0 | Distance to food: 12
Kenobi moved up to (7, 15) | Reward: 2.0 | Distance to food: 11
Kenobi moved up to (6, 15) | Reward: 2.0 | Distance to food: 10
Kenobi moved up to (5, 15) | Reward: 2.0 | Distance to food: 9
Kenobi moved left to (5, 14) | Reward: 2.0 | Distance to food: 8
Kenobi moved right to (5, 15) | Reward: -2.0 | Distance to food: 9
Kenobi moved up to (4, 15) | Reward: -2.0 | Distance to food: 10
Kenobi moved left to (4, 14) | Reward: 2.0 | Distance to food: 9
Kenobi moved right to (4, 15) | Reward: -2.0 | Distance to food: 10
WALL HIT! Kenobi crashed into the wall. Final score: 0
=== Episode 4 started ===
Kenobi moved right to (8, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved right to (8, 10) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (7, 10) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (6, 10) | Reward: 2.0 | Distance to food: 11
Kenobi moved left to (6, 9) | Reward: 2.0 | Distance to food: 10
Kenobi moved left to (6, 8) | Reward: 2.0 | Distance to food: 9
Kenobi moved right to (6, 9) | Reward: -2.0 | Distance to food: 10
Kenobi moved up to (5, 9) | Reward: 2.0 | Distance to food: 9
Kenobi moved up to (4, 9) | Reward: 2.0 | Distance to food: 8
Kenobi moved left to (4, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved left to (4, 7) | Reward: 2.0 | Distance to food: 6
Kenobi moved up to (3, 7) | Reward: -2.0 | Distance to food: 7
Kenobi moved left to (3, 6) | Reward: 2.0 | Distance to food: 6
Kenobi moved right to (3, 7) | Reward: -2.0 | Distance to food: 7
Kenobi moved left to (3, 6) | Reward: 2.0 | Distance to food: 6
Kenobi moved right to (3, 7) | Reward: -2.0 | Distance to food: 7
Kenobi moved right to (3, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved right to (3, 9) | Reward: -2.0 | Distance to food: 9
Kenobi moved left to (3, 8) | Reward: 2.0 | Distance to food: 8
Kenobi moved up to (2, 8) | Reward: -2.0 | Distance to food: 9
Kenobi moved right to (2, 9) | Reward: -2.0 | Distance to food: 10
Kenobi moved down to (3, 9) | Reward: 2.0 | Distance to food: 9
Kenobi moved left to (3, 8) | Reward: 2.0 | Distance to food: 8
Kenobi moved up to (2, 8) | Reward: -2.0 | Distance to food: 9
Kenobi moved left to (2, 7) | Reward: 2.0 | Distance to food: 8
Kenobi moved right to (2, 8) | Reward: -2.0 | Distance to food: 9
Kenobi moved down to (3, 8) | Reward: 2.0 | Distance to food: 8
Kenobi moved right to (3, 9) | Reward: -2.0 | Distance to food: 9
Kenobi moved left to (3, 8) | Reward: 2.0 | Distance to food: 8
Kenobi moved up to (2, 8) | Reward: -2.0 | Distance to food: 9
Kenobi moved up to (1, 8) | Reward: -2.0 | Distance to food: 10
Kenobi moved up to (0, 8) | Reward: -2.0 | Distance to food: 11
Kenobi moved down to (1, 8) | Reward: 2.0 | Distance to food: 10
Kenobi moved down to (2, 8) | Reward: 2.0 | Distance to food: 9
Kenobi moved down to (3, 8) | Reward: 2.0 | Distance to food: 8
Kenobi moved down to (4, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved down to (5, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved down to (6, 8) | Reward: -2.0 | Distance to food: 9
Kenobi moved down to (7, 8) | Reward: -2.0 | Distance to food: 10
Kenobi moved right to (7, 9) | Reward: -2.0 | Distance to food: 11
Kenobi moved right to (7, 10) | Reward: -2.0 | Distance to food: 12
Kenobi moved left to (7, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved left to (7, 8) | Reward: 2.0 | Distance to food: 10
Kenobi moved right to (7, 9) | Reward: -2.0 | Distance to food: 11
Kenobi moved down to (8, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved up to (7, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved right to (7, 10) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (8, 10) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (7, 10) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (8, 10) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (9, 10) | Reward: -2.0 | Distance to food: 14
Kenobi moved right to (9, 11) | Reward: -2.0 | Distance to food: 15
Kenobi moved down to (10, 11) | Reward: -2.0 | Distance to food: 16
Kenobi moved right to (10, 12) | Reward: -2.0 | Distance to food: 17
Kenobi moved left to (10, 11) | Reward: 2.0 | Distance to food: 16
Kenobi moved up to (9, 11) | Reward: 2.0 | Distance to food: 15
Kenobi moved left to (9, 10) | Reward: 2.0 | Distance to food: 14
Kenobi moved right to (9, 11) | Reward: -2.0 | Distance to food: 15
Kenobi moved right to (9, 12) | Reward: -2.0 | Distance to food: 16
Kenobi moved down to (10, 12) | Reward: -2.0 | Distance to food: 17
Kenobi moved left to (10, 11) | Reward: 2.0 | Distance to food: 16
Kenobi moved down to (11, 11) | Reward: -2.0 | Distance to food: 17
Kenobi moved right to (11, 12) | Reward: -2.0 | Distance to food: 18
Kenobi moved up to (10, 12) | Reward: 2.0 | Distance to food: 17
Kenobi moved down to (11, 12) | Reward: -2.0 | Distance to food: 18
Kenobi moved right to (11, 13) | Reward: -2.0 | Distance to food: 19
Kenobi moved up to (10, 13) | Reward: 2.0 | Distance to food: 18
Kenobi moved up to (9, 13) | Reward: 2.0 | Distance to food: 17
Kenobi moved down to (10, 13) | Reward: -2.0 | Distance to food: 18
Kenobi moved right to (10, 14) | Reward: -2.0 | Distance to food: 19
Kenobi moved up to (9, 14) | Reward: 2.0 | Distance to food: 18
Kenobi moved down to (10, 14) | Reward: -2.0 | Distance to food: 19
Kenobi moved down to (11, 14) | Reward: -2.0 | Distance to food: 20
Kenobi moved right to (11, 15) | Reward: -2.0 | Distance to food: 21
Kenobi moved left to (11, 14) | Reward: 2.0 | Distance to food: 20
Kenobi moved right to (11, 15) | Reward: -2.0 | Distance to food: 21
WALL HIT! Kenobi crashed into the wall. Final score: 0
=== Episode 5 started ===
Kenobi moved down to (9, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved down to (9, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved up to (7, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved left to (7, 7) | Reward: -2.0 | Distance to food: 9
Kenobi moved down to (8, 7) | Reward: 2.0 | Distance to food: 8
Kenobi moved down to (9, 7) | Reward: -2.0 | Distance to food: 9
Kenobi moved left to (9, 6) | Reward: -2.0 | Distance to food: 10
Kenobi moved up to (8, 6) | Reward: 2.0 | Distance to food: 9
Kenobi moved right to (8, 7) | Reward: 2.0 | Distance to food: 8
Kenobi moved up to (7, 7) | Reward: -2.0 | Distance to food: 9
Kenobi moved left to (7, 6) | Reward: -2.0 | Distance to food: 10
Kenobi moved up to (6, 6) | Reward: -2.0 | Distance to food: 11
Kenobi moved down to (7, 6) | Reward: 2.0 | Distance to food: 10
Kenobi moved down to (8, 6) | Reward: 2.0 | Distance to food: 9
Kenobi moved up to (7, 6) | Reward: -2.0 | Distance to food: 10
Kenobi moved left to (7, 5) | Reward: -2.0 | Distance to food: 11
Kenobi moved up to (6, 5) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (7, 5) | Reward: 2.0 | Distance to food: 11
Kenobi moved left to (7, 4) | Reward: -2.0 | Distance to food: 12
Kenobi moved up to (6, 4) | Reward: -2.0 | Distance to food: 13
Kenobi moved right to (6, 5) | Reward: 2.0 | Distance to food: 12
